"","id","u_id","u_description","u_name","u_screen_name","u_lang","u_statuses_count","u_followers_count","u_friends_count","latitude","longitude","type","place_type","area","c_country","c_state","c_county","c_geoid","hashtags","t_text","created_at"
"1",383616676413337600,137462549,"Twin & I R fitness experts.Writer/Editor/Speaker/Radio Host.Fun & Fit. ACE Cert. Contrib.Ed. IDEA Fitness Jrnal. #FitFluential & #GenFab Love 2 Bake & Travel","Alexandra Williams","Alexandrafunfit","en",58772,6186,5323,40.01244507,-105.26018656,"llp","city",66870550.265625,"USA","Colorado",13,"1400000US08013012202","fitsocial healthyfood boulder ","breakfast looks good. thanks naturespath. #fitsocial  #healthyfood #boulder @ millennium harvest house… http://t.co/kyrhm9pq0b","2013-09-27 11:38:37"
"2",383645254421078016,48489498,"- #Gay World Traveller on a year long trip around North America -
 Get Inspired | #GetRAOKT | #TTOT | Currently in #Oklahoma","Calan Breckon","Calan_b","en",5000,887,492,39.97161659,-105.24016816,"llp","city",66870550.265625,"USA","Colorado",13,"1400000US08013012510","Volunteering boulder ","#volunteering in #boulder clearing up flood trash. glad to help fernando today clear out his basement.… http://t.co/l6jsoz88tw","2013-09-27 13:32:11"
"3",383647803962314752,276561398,"21. Painting major @ MassArt. Thinks in puns. Posts several photos of artwork, and always looking for feedback.","Annelyse Reinertson","NNLYS","en",10291,183,203,42.28729113,-71.74886459,"llp","city",56554356.25,"USA","Massachusetts",27,"1400000US25027739200","","i need to go to boulder this year. need to.","2013-09-27 13:42:18"
"4",383588801504751616,840751,"Product manager at @gnip.","Ian Cairns","cairnsim","en",2202,1348,981,40.01942845,-105.27375082,"llp","city",66870550.265625,"USA","Colorado",13,"1400000US08013012204","Boulder ","go #boulder. rt: @costanoavc: @govictorops - welcome to the @costanoa family. devops will never be the same. http://t.co/zmhx0usmgn","2013-09-27 09:47:51"
"5",383586247719288832,96905402,"Ing en Telecomunicaciones. UCAB. Veo el vaso medio lleno","Carola","caroparedes449","es",25020,321,329,40.01629905,-105.25899053,"llp","city",66870550.265625,"USA","Colorado",13,"1400000US08013012202","boulder rain ","good morning. #boulder #rain karlita2448 @ ihop http://t.co/wdwsymfr6c","2013-09-27 09:37:42"
"6",383627483759013888,50033685,"I'm twenty and living life the best I can","Ashley Latimer","shleetastic","en",1035,65,434,40.00799967,-105.26315267,"llp","city",66870550.265625,"USA","Colorado",13,"1400000US08013012300","Fall leaf grass dare2inspire autumn changingseasonds ","#fall is in the air. #leaf #grass #dare2inspire #autumn #changingseasonds @ cu boulder http://t.co/ansnmlgftl","2013-09-27 12:21:34"
"7",383625518085459968,44794884,"Voice of the Colorado Buffaloes for KVCU |
 Host of @Radio1190News M, W, F 6-7pm MT #1190am | Featured Writer for @Allbuffs
 #GoBuffs","Mat Smith","RealMatSmith","en",7541,389,1994,40.0220075,-105.256363914639,"p","city",66870550.265625,"USA","Colorado",13,"1400000US08013012203","ManlyEnoughforaPedicure ","@lauren_lanier contempo nails on 28th and arapahoe in the same strip mall as qdoba is my fave in boulder #manlyenoughforapedicure","2013-09-27 12:13:45"
"8",383626933709193216,81237494,"ALL CONFIRMED celebrity and public figure sightings posted here in near real-time as possible. Associated with @StarSightings.","StarSightings MAX","ssbot","en",144774,726,2,40.0023,-105.258,"llp","city",66870550.265625,"USA","Colorado",13,"1400000US08013012607","","bob margolin sighting: boulder, colorado/ outlook hotel http://t.co/umioviorbx","2013-09-27 12:19:23"
"9",383658718669602816,392902133,"","Brendan","b__b__","en",2283,246,227,40.80902616,-77.89675455,"llp","admin",152156696360.898,"USA","Pennsylvania",27,"1400000US42027011300","","can god create a boulder he can't lift? fuck you philosophy stop making me think","2013-09-27 14:25:41"
"10",383659371940413440,26011751,"911 Paramedic, photographer and weather enthusiast. Analyst for Colorado's premier weather group, http://Brendansweather.com.","Greg Moore","GMoore34","en",3282,164,279,39.645963,-106.532721042606,"p","city",20788395.796875,"USA","Colorado",37,"1400000US08037000503","snow CoWx ","win yourself some lift tickets! http://t.co/syigftzspx mt @winterpark: soon, ski racks...soon... #snow #cowx http://t.co/pqnthm622y","2013-09-27 14:28:16"
"11",383634214312112128,1004637386,"Follow me biietch.","Taylor Craven","taycray123","en",423,77,126,40.0164225,-105.2546469,"llp","city",66870550.265625,"USA","Colorado",13,"1400000US08013012203","","forever raining in boulder, colorado","2013-09-27 12:48:18"
"12",383632981962678272,240132179,"Waipahu, Hawaii Las Vegas, Nevada Barcadas Capitan CEO & Founder of Kings Crown","Brettany Petelo","DirtbagBrett","en",7301,173,351,36.18388972,-115.04099192,"llp","city",99383148.6835938,"USA","Nevada",3,"1400000US32003004918","","hit the sports book now or after work? what time boulder sports book close anyways?","2013-09-27 12:43:25"
"13",383673828720648192,1480867716,"Private Personal Training and Wardrobe Consulting ~ we help you to be as fit as you would like and assist you to appropriately dress for your life style.","Liz Wigod","SimplyFitAllWay","en",32,15,84,39.9989578,-105.23510646,"llp","city",66870550.265625,"USA","Colorado",13,"1400000US08013012511","","joy in motion, boulder. great nia class with cathy!!","2013-09-27 15:25:43"
